time,open,high,low,close,volume,5ma,20ma,atr
2024-03-15 15:00:00,141.205,141.345,140.99,141.09,1153405.0,141.28300000000002,141.2185,0.5804999999999966
2024-03-15 14:45:00,141.315,141.35,141.1,141.203,589573.0,141.2356,141.22615,0.5826428571428538
2024-03-15 14:30:00,140.99,141.42,140.97,141.31,794152.0,141.2486,141.24015,0.6083571428571405
2024-03-15 14:15:00,140.94,141.02,140.83,140.99,546761.0,141.1866,141.22515,0.6333571428571402
2024-03-15 14:00:00,140.95,141.015,140.79,140.935,620010.0,141.1056,141.2114,0.6392142857142825
2024-03-15 13:45:00,140.8,141.01,140.555,140.93,745432.0,141.0736,141.19889999999998,0.6552857142857107
2024-03-15 13:30:00,140.5,140.909,140.45,140.81,881875.0,140.995,141.1719,0.4572142857142844
2024-03-15 13:15:00,140.19,140.55,140.18,140.495,518168.0,140.832,141.13665,0.4782857142857121
2024-03-15 13:00:00,140.145,140.52,140.142,140.19,1715050.0,140.672,141.08615000000003,0.4881428571428553
2024-03-15 12:45:00,140.19,140.22,140.03,140.15,675462.0,140.51500000000001,141.03564999999998,0.47664285714285526
2024-03-15 12:30:00,140.27,140.49,140.175,140.192,684454.0,140.3674,140.98674999999997,0.4041428571428542
2024-03-15 12:15:00,140.235,140.38,140.095,140.275,613155.0,140.2604,140.9415,0.3823571428571394
2024-03-15 12:00:00,140.575,140.63,140.125,140.24,606457.0,140.20940000000002,140.90275000000003,0.4034285714285671
2024-03-15 11:45:00,140.59,140.67,140.41,140.575,602086.0,140.28640000000001,140.872,0.39021428571428124
2024-03-15 11:30:00,141.201,141.27,140.58,140.59,686587.0,140.3744,140.83350000000002,0.41449999999999776
2024-03-15 11:15:00,141.06,141.265,140.96,141.21,1782758.0,140.578,140.8255,0.44414285714285434
2024-03-15 11:00:00,141.265,141.37,140.96,141.065,816728.0,140.73600000000002,140.80675000000002,0.44128571428571206
2024-03-15 10:45:00,141.27,141.49,141.08,141.265,636280.0,140.941,140.80775,0.43735714285714217
2024-03-15 10:30:00,141.593,141.62,141.1,141.26,880011.0,141.078,140.80575,0.4584285714285719
